538,131032799,270,28548974
Alabama,AL,9,1049910
Alaska,AK,3,163099
Arizona,AZ,10,1146738
Arkansas,AR,6,543309
California,CA,55,6732248
Connecticut,CT,7,823392
Delaware,DE,3,206207
District of Columbia,DC,3,132927
Hawaii,HI,4,226785
Idaho,ID,4,327517
Indiana,IN,11,1375528
Iowa,IA,7,765194
Kansas,KS,6,617901
Kentucky,KY,8,913311
Louisiana,LA,9,980381
Maine,ME,4,365582
Mississippi,MS,6,644933
Montana,MT,3,245055
Nebraska,NE,5,399223
Nevada,NV,5,480791
New Hampshire,NH,4,353806
New Mexico,NM,5,415080
North Dakota,ND,3,158311
Oklahoma,OK,7,731331
Oregon,OR,7,907126
Rhode Island,RI,4,235884
South Carolina,SC,8,960485
South Dakota,SD,3,190988
Tennessee,TN,11,1299875
Texas,TX,34,4038898
Utah,UT,5,471340
Vermont,VT,3,162524
West Virginia,WV,5,356726
Wyoming,WY,3,126569
